Model,Feature Selection Method,ACC,AUC,MCC,F1,Number of Features,Time,MeasuringFS
RandomForest,MDFS,0.6040557220948687,0.6025869435493497,0.2065239732599036,0.626263012797673,100,38.68693709373474,-426.6666666666667
RandomForest,MDFS,0.620625,0.6197263595093211,0.2408218334370219,0.638857233360574,100,77.95501685142517,-512.0
RandomForest,MDFS,0.611875,0.6108772175536882,0.2245152348766409,0.631522145380447,100,137.1574399471283,-576.0
