Model,Feature Selection Method,ACC,AUC,MCC,F1
RandomForest,ReliefF,0.6261682242990654,0.6221052631578948,0.24611777274263774,0.6610169491525425
RandomForest,ReliefF,0.6355140186915887,0.6321052631578947,0.2656121835060954,0.6666666666666667
RandomForest,ReliefF,0.6037735849056604,0.6043680630146796,0.20814079896736404,0.6181818181818182
