Model,Feature Selection Method,ACC,AUC,MCC,F1,Number of Features,Time,MeasuringFS
RandomForest,MDFS,0.5715625,0.5674766734279919,0.1371135194009553,0.6075992157494635,5,37.18782186508179,-512.0
RandomForest,MDFS,0.5853125,0.5818351202549985,0.16643588080278754,0.6174379952864922,10,41.45932149887085,-512.0
RandomForest,MDFS,0.5959375,0.5935752921858398,0.1890096697558169,0.6237255056278979,20,39.223636627197266,-512.0
RandomForest,MDFS,0.601875,0.6008825461218971,0.2040921910114704,0.6198843574905291,40,41.87418007850647,-512.0
RandomForest,MDFS,0.611875,0.6101277890466531,0.22210462102281134,0.6355636475124058,60,41.50841784477234,-512.0
RandomForest,MDFS,0.6159375,0.6141396696609679,0.229929917660784,0.6399063590931564,80,44.36266756057739,-512.0
RandomForest,MDFS,0.618125,0.6173258958755916,0.23641303079693898,0.6370079105608157,100,44.35441756248474,-512.0
RandomForest,MDFS,0.6171875,0.615481502946006,0.232396320819972,0.6399177654352997,120,44.25069546699524,-512.0
RandomForest,MDFS,0.61875,0.6173147879841593,0.23605578700161114,0.6396000287828724,140,45.33825707435608,-512.0
